medium,frequency_hz,amplitude_v,phase_deg,x_v,y_v,chunk_timestamp,medium,frequency_hz,phase_deg,chunk_timestamp
AIR,100000.0000003354,4.76881e-05,0.249302,4.61539e-05,1.16016e-05,650694397781,AIR,100000.0000003354,0.249302,650694397781
AIR,101050.5252629557,4.71875e-05,0.275562,4.50898e-05,1.27757e-05,650694397781,AIR,101050.5252629557,0.275562,650694397781
AIR,102101.0505255759,4.92731e-05,0.24614,4.75982e-05,1.18956e-05,650694397781,AIR,102101.0505255759,0.24614,650694397781
AIR,103151.5757881962,5.10723e-05,0.247893,4.93199e-05,1.25331e-05,650694397781,AIR,103151.5757881962,0.247893,650694397781
AIR,104202.1010508165,4.79385e-05,0.252757,4.61321e-05,1.18539e-05,650694397781,AIR,104202.1010508165,0.252757,650694397781
AIR,105252.6263134368,4.96389e-05,0.239872,4.79924e-05,1.18465e-05,650694397781,AIR,105252.6263134368,0.239872,650694397781
AIR,106303.1515760571,4.83685e-05,0.220322,4.688e-05,1.0437e-05,650694397781,AIR,106303.1515760571,0.220322,650694397781
AIR,107353.6768386774,4.85967e-05,0.244895,4.69722e-05,1.17979e-05,650694397781,AIR,107353.6768386774,0.244895,650694397781
AIR,108404.2021012976,4.94363e-05,0.214711,4.81347e-05,1.04933e-05,650694397781,AIR,108404.2021012976,0.214711,650694397781
AIR,109454.7273639179,5.04393e-05,0.264152,4.85165e-05,1.30697e-05,650694397781,AIR,109454.7273639179,0.264152,650694397781
AIR,110505.2526265382,4.95901e-05,0.238718,4.79497e-05,1.17445e-05,650694397781,AIR,110505.2526265382,0.238718,650694397781
AIR,111555.7778891585,4.97461e-05,0.261498,4.79381e-05,1.27273e-05,650694397781,AIR,111555.7778891585,0.261498,650694397781
AIR,112606.3031517788,4.95326e-05,0.22054,4.81111e-05,1.09081e-05,650694397781,AIR,112606.3031517788,0.22054,650694397781
AIR,113656.8284143991,4.98539e-05,0.187301,4.88128e-05,9.16609e-06,650694397781,AIR,113656.8284143991,0.187301,650694397781
AIR,114707.3536770193,5.1942e-05,0.234071,5.03551e-05,1.20607e-05,650694397781,AIR,114707.3536770193,0.234071,650694397781
AIR,115757.8789396396,5.18489e-05,0.236289,5.0317e-05,1.2162e-05,650694397781,AIR,115757.8789396396,0.236289,650694397781
AIR,116808.4042022599,4.99383e-05,0.25413,4.81979e-05,1.26171e-05,650694397781,AIR,116808.4042022599,0.25413,650694397781
AIR,117858.9294648802,4.99702e-05,0.235244,4.84372e-05,1.1565e-05,650694397781,AIR,117858.9294648802,0.235244,650694397781
AIR,118909.4547275005,5.09548e-05,0.223582,4.95636e-05,1.1272e-05,650694397781,AIR,118909.4547275005,0.223582,650694397781
AIR,119959.9799901208,5.1221e-05,0.257164,4.93789e-05,1.30361e-05,650694397781,AIR,119959.9799901208,0.257164,650694397781
AIR,121010.505252741,5.15149e-05,0.202759,5.04e-05,1.03429e-05,650694397781,AIR,121010.505252741,0.202759,650694397781
AIR,122061.0305153613,5.25839e-05,0.231187,5.10516e-05,1.21437e-05,650694397781,AIR,122061.0305153613,0.231187,650694397781
AIR,123111.5557779816,5.11271e-05,0.221588,4.97645e-05,1.11885e-05,650694397781,AIR,123111.5557779816,0.221588,650694397781
AIR,124162.0810406019,5.04335e-05,0.26491,4.85878e-05,1.30835e-05,650694397781,AIR,124162.0810406019,0.26491,650694397781
AIR,125212.6063032222,5.19598e-05,0.240198,5.03292e-05,1.2307e-05,650694397781,AIR,125212.6063032222,0.240198,650694397781
AIR,126263.1315658425,5.16841e-05,0.196939,5.0608e-05,1.00994e-05,650694397781,AIR,126263.1315658425,0.196939,650694397781
AIR,127313.6568284627,5.13476e-05,0.238947,4.98349e-05,1.21186e-05,650694397781,AIR,127313.6568284627,0.238947,650694397781
AIR,128364.182091083,5.12058e-05,0.229731,4.97208e-05,1.15464e-05,650694397781,AIR,128364.182091083,0.229731,650694397781
AIR,129414.7073537033,5.22272e-05,0.202889,5.105e-05,1.05619e-05,650694397781,AIR,129414.7073537033,0.202889,650694397781
AIR,130465.2326163236,5.16916e-05,0.211454,5.04213e-05,1.08262e-05,650694397781,AIR,130465.2326163236,0.211454,650694397781
AIR,131515.7578789439,5.11028e-05,0.193406,5.00069e-05,9.89673e-06,650694397781,AIR,131515.7578789439,0.193406,650694397781
AIR,132566.2831415642,5.25112e-05,0.242163,5.07987e-05,1.24971e-05,650694397781,AIR,132566.2831415642,0.242163,650694397781
AIR,133616.8084041844,4.98285e-05,0.213384,4.85288e-05,1.05191e-05,650694397781,AIR,133616.8084041844,0.213384,650694397781
AIR,134667.3336668047,5.16227e-05,0.216182,5.03685e-05,1.10435e-05,650694397781,AIR,134667.3336668047,0.216182,650694397781
AIR,135717.858929425,5.21669e-05,0.22021,5.07964e-05,1.13249e-05,650694397781,AIR,135717.858929425,0.22021,650694397781
AIR,136768.3841920453,5.28324e-05,0.211512,5.15349e-05,1.11545e-05,650694397781,AIR,136768.3841920453,0.211512,650694397781
AIR,137818.9094546656,5.29026e-05,0.22503,5.14055e-05,1.18493e-05,650694397781,AIR,137818.9094546656,0.22503,650694397781
AIR,138869.4347172859,5.20307e-05,0.232041,5.04892e-05,1.18636e-05,650694397781,AIR,138869.4347172859,0.232041,650694397781
AIR,139919.9599799061,5.24624e-05,0.195649,5.1314e-05,1.01856e-05,650694397781,AIR,139919.9599799061,0.195649,650694397781
AIR,140970.4852425264,5.26032e-05,0.195573,5.15639e-05,1.02023e-05,650694397781,AIR,140970.4852425264,0.195573,650694397781
AIR,142021.0105051467,5.41186e-05,0.204032,5.28004e-05,1.08544e-05,650694397781,AIR,142021.0105051467,0.204032,650694397781
AIR,143071.535767767,5.45298e-05,0.211495,5.32544e-05,1.14021e-05,650694397781,AIR,143071.535767767,0.211495,650694397781
AIR,144122.0610303873,5.29551e-05,0.212914,5.16692e-05,1.1171e-05,650694397781,AIR,144122.0610303873,0.212914,650694397781
AIR,145172.5862930076,5.38086e-05,0.177919,5.28496e-05,9.55313e-06,650694397781,AIR,145172.5862930076,0.177919,650694397781
AIR,146223.1115556278,5.27076e-05,0.208509,5.14328e-05,1.09142e-05,650694397781,AIR,146223.1115556278,0.208509,650694397781
AIR,147273.6368182481,5.24056e-05,0.217845,5.10186e-05,1.13821e-05,650694397781,AIR,147273.6368182481,0.217845,650694397781
AIR,148324.1620808684,5.30296e-05,0.237322,5.14897e-05,1.24624e-05,650694397781,AIR,148324.1620808684,0.237322,650694397781
AIR,149374.6873434887,5.29556e-05,0.194527,5.18572e-05,1.02969e-05,650694397781,AIR,149374.6873434887,0.194527,650694397781
AIR,150425.212606109,5.26329e-05,0.21293,5.13755e-05,1.10911e-05,650694397781,AIR,150425.212606109,0.21293,650694397781
AIR,151475.7378687293,5.43681e-05,0.206508,5.31194e-05,1.11079e-05,650694397781,AIR,151475.7378687293,0.206508,650694397781
AIR,152526.2631313496,5.32431e-05,0.191212,5.21971e-05,1.00388e-05,650694397781,AIR,152526.2631313496,0.191212,650694397781
AIR,153576.7883939698,5.34895e-05,0.196538,5.23629e-05,1.04552e-05,650694397781,AIR,153576.7883939698,0.196538,650694397781
AIR,154627.3136565901,5.30353e-05,0.197295,5.18656e-05,1.03722e-05,650694397781,AIR,154627.3136565901,0.197295,650694397781
AIR,155677.8389192104,5.36631e-05,0.192334,5.26165e-05,1.023e-05,650694397781,AIR,155677.8389192104,0.192334,650694397781
AIR,156728.3641818307,5.42225e-05,0.193538,5.31178e-05,1.03644e-05,650694397781,AIR,156728.3641818307,0.193538,650694397781
AIR,157778.889444451,5.30374e-05,0.210248,5.17842e-05,1.10852e-05,650694397781,AIR,157778.889444451,0.210248,650694397781
AIR,158829.4147070712,5.34023e-05,0.203444,5.22126e-05,1.0747e-05,650694397781,AIR,158829.4147070712,0.203444,650694397781
AIR,159879.9399696915,5.2967e-05,0.205074,5.179e-05,1.07788e-05,650694397781,AIR,159879.9399696915,0.205074,650694397781
AIR,160930.4652323118,5.35227e-05,0.170272,5.2671e-05,9.0083e-06,650694397781,AIR,160930.4652323118,0.170272,650694397781
AIR,161980.9904949321,5.45193e-05,0.203669,5.33346e-05,1.09957e-05,650694397781,AIR,161980.9904949321,0.203669,650694397781
AIR,163031.5157575524,5.3436e-05,0.214365,5.21595e-05,1.13851e-05,650694397781,AIR,163031.5157575524,0.214365,650694397781
AIR,164082.0410201726,5.33471e-05,0.193232,5.2271e-05,1.02047e-05,650694397781,AIR,164082.0410201726,0.193232,650694397781
AIR,165132.5662827929,5.475e-05,0.187217,5.37428e-05,1.01134e-05,650694397781,AIR,165132.5662827929,0.187217,650694397781
AIR,166183.0915454132,5.4952e-05,0.194389,5.38728e-05,1.05869e-05,650694397781,AIR,166183.0915454132,0.194389,650694397781
AIR,167233.6168080335,5.50673e-05,0.176374,5.41579e-05,9.64709e-06,650694397781,AIR,167233.6168080335,0.176374,650694397781
AIR,168284.1420713999,5.31929e-05,0.199938,5.20496e-05,1.06116e-05,650694397781,AIR,168284.1420713999,0.199938,650694397781
AIR,169334.6673340201,5.40514e-05,0.212294,5.2793e-05,1.13563e-05,650694397781,AIR,169334.6673340201,0.212294,650694397781
